"ensembl_gene_id"	"external_gene_name"	"gene_biotype"
"ENSG00000054392"	"HHAT"	"protein_coding"
"ENSG00000054523"	"KIF1B"	"protein_coding"
"ENSG00000055044"	"NOP58"	"protein_coding"
"ENSG00000055070"	"SZRD1"	"protein_coding"
"ENSG00000055147"	"FAM114A2"	"protein_coding"
"ENSG00000055332"	"EIF2AK2"	"protein_coding"
"ENSG00000055732"	"MCOLN3"	"protein_coding"
"ENSG00000055917"	"PUM2"	"protein_coding"
"ENSG00000056050"	"HPF1"	"protein_coding"
"ENSG00000056097"	"ZFR"	"protein_coding"
"ENSG00000056736"	"IL17RB"	"protein_coding"
"ENSG00000057019"	"DCBLD2"	"protein_coding"
"ENSG00000057252"	"SOAT1"	"protein_coding"
"ENSG00000057757"	"PITHD1"	"protein_coding"
"ENSG00000057935"	"MTA3"	"protein_coding"
"ENSG00000058056"	"USP13"	"protein_coding"
"ENSG00000058063"	"ATP11B"	"protein_coding"
"ENSG00000058085"	"LAMC2"	"protein_coding"
"ENSG00000058262"	"SEC61A1"	"protein_coding"
"ENSG00000058453"	"CROCC"	"protein_coding"
"ENSG00000058668"	"ATP2B4"	"protein_coding"
"ENSG00000058673"	"ZC3H11A"	"protein_coding"
"ENSG00000058729"	"RIOK2"	"protein_coding"
"ENSG00000058799"	"YIPF1"	"protein_coding"
"ENSG00000058804"	"NDC1"	"protein_coding"
"ENSG00000059588"	"TARBP1"	"protein_coding"
"ENSG00000059691"	"GATB"	"protein_coding"
"ENSG00000059728"	"MXD1"	"protein_coding"
"ENSG00000060642"	"PIGV"	"protein_coding"
"ENSG00000060656"	"PTPRU"	"protein_coding"
"ENSG00000060688"	"SNRNP40"	"protein_coding"
"ENSG00000060718"	"COL11A1"	"protein_coding"
"ENSG00000060971"	"ACAA1"	"protein_coding"
"ENSG00000061676"	"NCKAP1"	"protein_coding"
"ENSG00000061918"	"GUCY1B1"	"protein_coding"
"ENSG00000061938"	"TNK2"	"protein_coding"
"ENSG00000062194"	"GPBP1"	"protein_coding"
"ENSG00000063660"	"GPC1"	"protein_coding"
"ENSG00000063978"	"RNF4"	"protein_coding"
"ENSG00000064012"	"CASP8"	"protein_coding"
"ENSG00000064651"	"SLC12A2"	"protein_coding"
"ENSG00000064652"	"SNX24"	"protein_coding"
"ENSG00000064703"	"DDX20"	"protein_coding"
"ENSG00000064933"	"PMS1"	"protein_coding"
"ENSG00000064989"	"CALCRL"	"protein_coding"
"ENSG00000065135"	"GNAI3"	"protein_coding"
"ENSG00000065183"	"WDR3"	"protein_coding"
"ENSG00000065243"	"PKN2"	"protein_coding"
"ENSG00000065413"	"ANKRD44"	"protein_coding"
"ENSG00000065485"	"PDIA5"	"protein_coding"
"ENSG00000065518"	"NDUFB4"	"protein_coding"
"ENSG00000065526"	"SPEN"	"protein_coding"
"ENSG00000065534"	"MYLK"	"protein_coding"
"ENSG00000065548"	"ZC3H15"	"protein_coding"
"ENSG00000065600"	"PACC1"	"protein_coding"
"ENSG00000065802"	"ASB1"	"protein_coding"
"ENSG00000065882"	"TBC1D1"	"protein_coding"
"ENSG00000065911"	"MTHFD2"	"protein_coding"
"ENSG00000065978"	"YBX1"	"protein_coding"
"ENSG00000066027"	"PPP2R5A"	"protein_coding"
"ENSG00000066032"	"CTNNA2"	"protein_coding"
"ENSG00000066135"	"KDM4A"	"protein_coding"
"ENSG00000066136"	"NFYC"	"protein_coding"
"ENSG00000066185"	"ZMYND12"	"protein_coding"
"ENSG00000066230"	"SLC9A3"	"protein_coding"
"ENSG00000066248"	"NGEF"	"protein_coding"
"ENSG00000066279"	"ASPM"	"protein_coding"
"ENSG00000066322"	"ELOVL1"	"protein_coding"
"ENSG00000066422"	"ZBTB11"	"protein_coding"
"ENSG00000066557"	"LRRC40"	"protein_coding"
"ENSG00000066583"	"ISOC1"	"protein_coding"
"ENSG00000067066"	"SP100"	"protein_coding"
"ENSG00000067113"	"PLPP1"	"protein_coding"
"ENSG00000067208"	"EVI5"	"protein_coding"
"ENSG00000067334"	"DNTTIP2"	"protein_coding"
"ENSG00000067533"	"RRP15"	"protein_coding"
"ENSG00000067560"	"RHOA"	"protein_coding"
"ENSG00000067606"	"PRKCZ"	"protein_coding"
"ENSG00000067704"	"IARS2"	"protein_coding"
"ENSG00000068001"	"HYAL2"	"protein_coding"
"ENSG00000068024"	"HDAC4"	"protein_coding"
"ENSG00000068028"	"RASSF1"	"protein_coding"
"ENSG00000068078"	"FGFR3"	"protein_coding"
"ENSG00000068654"	"POLR1A"	"protein_coding"
"ENSG00000068697"	"LAPTM4A"	"protein_coding"
"ENSG00000068724"	"TTC7A"	"protein_coding"
"ENSG00000068745"	"IP6K2"	"protein_coding"
"ENSG00000068784"	"SRBD1"	"protein_coding"
"ENSG00000068878"	"PSME4"	"protein_coding"
"ENSG00000068885"	"IFT80"	"protein_coding"
"ENSG00000068912"	"ERLEC1"	"protein_coding"
"ENSG00000069248"	"NUP133"	"protein_coding"
"ENSG00000069275"	"NUCKS1"	"protein_coding"
"ENSG00000069424"	"KCNAB2"	"protein_coding"
"ENSG00000069702"	"TGFBR3"	"protein_coding"
"ENSG00000069812"	"HES2"	"protein_coding"
"ENSG00000069849"	"ATP1B3"	"protein_coding"
"ENSG00000070087"	"PFN2"	"protein_coding"
"ENSG00000070476"	"ZXDC"	"protein_coding"
"ENSG00000070614"	"NDST1"	"protein_coding"
"ENSG00000070759"	"TESK2"	"protein_coding"
"ENSG00000070785"	"EIF2B3"	"protein_coding"
"ENSG00000070814"	"TCOF1"	"protein_coding"
"ENSG00000070831"	"CDC42"	"protein_coding"
"ENSG00000070950"	"RAD18"	"protein_coding"
"ENSG00000071051"	"NCK2"	"protein_coding"
"ENSG00000071054"	"MAP4K4"	"protein_coding"
"ENSG00000071073"	"MGAT4A"	"protein_coding"
"ENSG00000071082"	"RPL31"	"protein_coding"
"ENSG00000071127"	"WDR1"	"protein_coding"
"ENSG00000071205"	"ARHGAP10"	"protein_coding"
"ENSG00000071282"	"LMCD1"	"protein_coding"
"ENSG00000071575"	"TRIB2"	"protein_coding"
"ENSG00000071794"	"HLTF"	"protein_coding"
"ENSG00000071967"	"CYBRD1"	"protein_coding"
"ENSG00000072135"	"PTPN18"	"protein_coding"
"ENSG00000072163"	"LIMS2"	"protein_coding"
"ENSG00000072195"	"SPEG"	"protein_coding"
"ENSG00000072274"	"TFRC"	"protein_coding"
"ENSG00000072364"	"AFF4"	"protein_coding"
"ENSG00000072682"	"P4HA2"	"protein_coding"
"ENSG00000072756"	"TRNT1"	"protein_coding"
"ENSG00000072786"	"STK10"	"protein_coding"
"ENSG00000072803"	"FBXW11"	"protein_coding"
"ENSG00000072840"	"EVC"	"protein_coding"
"ENSG00000073111"	"MCM2"	"protein_coding"
"ENSG00000073331"	"ALPK1"	"protein_coding"
"ENSG00000073711"	"PPP2R3A"	"protein_coding"
"ENSG00000073734"	"ABCB11"	"protein_coding"
"ENSG00000073737"	"DHRS9"	"protein_coding"
"ENSG00000073792"	"IGF2BP2"	"protein_coding"
"ENSG00000073803"	"MAP3K13"	"protein_coding"
"ENSG00000073849"	"ST6GAL1"	"protein_coding"
"ENSG00000074047"	"GLI2"	"protein_coding"
"ENSG00000074054"	"CLASP1"	"protein_coding"
"ENSG00000074211"	"PPP2R2C"	"protein_coding"
"ENSG00000074317"	"SNCB"	"protein_coding"
"ENSG00000074416"	"MGLL"	"protein_coding"
"ENSG00000074582"	"BCS1L"	"protein_coding"
"ENSG00000074800"	"ENO1"	"protein_coding"
"ENSG00000074964"	"ARHGEF10L"	"protein_coding"
"ENSG00000075151"	"EIF4G3"	"protein_coding"
"ENSG00000075292"	"ZNF638"	"protein_coding"
"ENSG00000075391"	"RASAL2"	"protein_coding"
"ENSG00000075420"	"FNDC3B"	"protein_coding"
"ENSG00000075426"	"FOSL2"	"protein_coding"
"ENSG00000075539"	"FRYL"	"protein_coding"
"ENSG00000075568"	"TMEM131"	"protein_coding"
"ENSG00000075651"	"PLD1"	"protein_coding"
"ENSG00000075711"	"DLG1"	"protein_coding"
"ENSG00000075785"	"RAB7A"	"protein_coding"
"ENSG00000075914"	"EXOSC7"	"protein_coding"
"ENSG00000075945"	"KIFAP3"	"protein_coding"
"ENSG00000075975"	"MKRN2"	"protein_coding"
"ENSG00000076003"	"MCM6"	"protein_coding"
"ENSG00000076201"	"PTPN23"	"protein_coding"
"ENSG00000076242"	"MLH1"	"protein_coding"
"ENSG00000076321"	"KLHL20"	"protein_coding"
"ENSG00000076356"	"PLXNA2"	"protein_coding"
"ENSG00000076864"	"RAP1GAP"	"protein_coding"
"ENSG00000077044"	"DGKD"	"protein_coding"
"ENSG00000077097"	"TOP2B"	"protein_coding"
"ENSG00000077152"	"UBE2T"	"protein_coding"
"ENSG00000077157"	"PPP1R12B"	"protein_coding"
"ENSG00000077232"	"DNAJC10"	"protein_coding"
"ENSG00000077254"	"USP33"	"protein_coding"
"ENSG00000077380"	"DYNC1I2"	"protein_coding"
"ENSG00000077522"	"ACTN2"	"protein_coding"
"ENSG00000077549"	"CAPZB"	"protein_coding"
"ENSG00000077585"	"GPR137B"	"protein_coding"
"ENSG00000077684"	"JADE1"	"protein_coding"
"ENSG00000078018"	"MAP2"	"protein_coding"
"ENSG00000078070"	"MCCC1"	"protein_coding"
"ENSG00000078081"	"LAMP3"	"protein_coding"
"ENSG00000078140"	"UBE2K"	"protein_coding"
"ENSG00000078177"	"N4BP2"	"protein_coding"
"ENSG00000078369"	"GNB1"	"protein_coding"
"ENSG00000078618"	"NRDC"	"protein_coding"
"ENSG00000078808"	"SDF4"	"protein_coding"
"ENSG00000078900"	"TP73"	"protein_coding"
"ENSG00000079150"	"FKBP7"	"protein_coding"
"ENSG00000079156"	"OSBPL6"	"protein_coding"
"ENSG00000079246"	"XRCC5"	"protein_coding"
"ENSG00000079257"	"LXN"	"protein_coding"
"ENSG00000079263"	"SP140"	"protein_coding"
"ENSG00000079277"	"MKNK1"	"protein_coding"
"ENSG00000079335"	"CDC14A"	"protein_coding"
"ENSG00000079739"	"PGM1"	"protein_coding"
"ENSG00000079785"	"DDX1"	"protein_coding"
"ENSG00000080200"	"CRYBG3"	"protein_coding"
"ENSG00000080345"	"RIF1"	"protein_coding"
"ENSG00000080819"	"CPOX"	"protein_coding"
"ENSG00000080822"	"CLDND1"	"protein_coding"
"ENSG00000081019"	"RSBN1"	"protein_coding"
"ENSG00000081026"	"MAGI3"	"protein_coding"
"ENSG00000081148"	"IMPG2"	"protein_coding"
"ENSG00000081154"	"PCNP"	"protein_coding"
"ENSG00000081307"	"UBA5"	"protein_coding"
"ENSG00000081320"	"STK17B"	"protein_coding"
"ENSG00000081692"	"JMJD4"	"protein_coding"
"ENSG00000081721"	"DUSP12"	"protein_coding"
"ENSG00000081870"	"IFT25"	"protein_coding"
"ENSG00000082126"	"MPP4"	"protein_coding"
"ENSG00000082146"	"STRADB"	"protein_coding"
"ENSG00000082153"	"BZW1"	"protein_coding"
"ENSG00000082196"	"C1QTNF3"	"protein_coding"
"ENSG00000082213"	"C5orf22"	"protein_coding"
"ENSG00000082258"	"CCNT2"	"protein_coding"
"ENSG00000082438"	"COBLL1"	"protein_coding"
"ENSG00000082512"	"TRAF5"	"protein_coding"
"ENSG00000082515"	"MRPL22"	"protein_coding"
"ENSG00000082516"	"GEMIN5"	"protein_coding"
"ENSG00000082701"	"GSK3B"	"protein_coding"
"ENSG00000082781"	"ITGB5"	"protein_coding"
"ENSG00000082898"	"XPO1"	"protein_coding"
"ENSG00000082996"	"RNF13"	"protein_coding"
"ENSG00000083312"	"TNPO1"	"protein_coding"
"ENSG00000083444"	"PLOD1"	"protein_coding"
"ENSG00000083857"	"FAT1"	"protein_coding"
"ENSG00000083896"	"YTHDC1"	"protein_coding"
"ENSG00000083937"	"CHMP2B"	"protein_coding"
"ENSG00000084070"	"SMAP2"	"protein_coding"
"ENSG00000084072"	"PPIE"	"protein_coding"
"ENSG00000084073"	"ZMPSTE24"	"protein_coding"
"ENSG00000084090"	"STARD7"	"protein_coding"
"ENSG00000084092"	"NOA1"	"protein_coding"
"ENSG00000084093"	"REST"	"protein_coding"
"ENSG00000084623"	"EIF3I"	"protein_coding"
"ENSG00000084628"	"NKAIN1"	"protein_coding"
"ENSG00000084652"	"TXLNA"	"protein_coding"
"ENSG00000084676"	"NCOA1"	"protein_coding"
"ENSG00000084693"	"AGBL5"	"protein_coding"
"ENSG00000084710"	"EFR3B"	"protein_coding"
"ENSG00000084731"	"KIF3C"	"protein_coding"
"ENSG00000084733"	"RAB10"	"protein_coding"
"ENSG00000084754"	"HADHA"	"protein_coding"
"ENSG00000084764"	"MAPRE3"	"protein_coding"
"ENSG00000084774"	"CAD"	"protein_coding"
"ENSG00000085231"	"AK6"	"protein_coding"
"ENSG00000085274"	"MYNN"	"protein_coding"
"ENSG00000085276"	"MECOM"	"protein_coding"
"ENSG00000085433"	"WDR47"	"protein_coding"
"ENSG00000085449"	"WDFY1"	"protein_coding"
"ENSG00000085465"	"OVGP1"	"protein_coding"
"ENSG00000085491"	"SLC25A24"	"protein_coding"
"ENSG00000085760"	"MTIF2"	"protein_coding"
"ENSG00000085831"	"TTC39A"	"protein_coding"
"ENSG00000085832"	"EPS15"	"protein_coding"
"ENSG00000085840"	"ORC1"	"protein_coding"
"ENSG00000085871"	"MGST2"	"protein_coding"
"ENSG00000085978"	"ATG16L1"	"protein_coding"
"ENSG00000085982"	"USP40"	"protein_coding"
"ENSG00000085998"	"POMGNT1"	"protein_coding"
"ENSG00000085999"	"RAD54L"	"protein_coding"
"ENSG00000086015"	"MAST2"	"protein_coding"
"ENSG00000086189"	"DIMT1"	"protein_coding"
"ENSG00000086200"	"IPO11"	"protein_coding"
"ENSG00000086619"	"ERO1B"	"protein_coding"
"ENSG00000087008"	"ACOX3"	"protein_coding"
"ENSG00000087128"	"TMPRSS11E"	"protein_coding"
"ENSG00000087266"	"SH3BP2"	"protein_coding"
"ENSG00000087269"	"NOP14"	"protein_coding"
"ENSG00000087274"	"ADD1"	"protein_coding"
"ENSG00000087338"	"GMCL1"	"protein_coding"
"ENSG00000088035"	"ALG6"	"protein_coding"
"ENSG00000088179"	"PTPN4"	"protein_coding"
"ENSG00000088205"	"DDX18"	"protein_coding"
"ENSG00000088280"	"ASAP3"	"protein_coding"
"ENSG00000088538"	"DOCK3"	"protein_coding"
"ENSG00000088543"	"C3orf18"	"protein_coding"
"ENSG00000088727"	"KIF9"	"protein_coding"
"ENSG00000090020"	"SLC9A1"	"protein_coding"
"ENSG00000090097"	"PCBP4"	"protein_coding"
"ENSG00000090273"	"NUDC"	"protein_coding"
"ENSG00000090316"	"MAEA"	"protein_coding"
"ENSG00000090432"	"MUL1"	"protein_coding"
"ENSG00000090520"	"DNAJB11"	"protein_coding"
"ENSG00000090530"	"P3H2"	"protein_coding"
"ENSG00000090539"	"CHRD"	"protein_coding"
"ENSG00000090621"	"PABPC4"	"protein_coding"
"ENSG00000090686"	"USP48"	"protein_coding"
"ENSG00000090989"	"EXOC1"	"protein_coding"
"ENSG00000091317"	"CMTM6"	"protein_coding"
"ENSG00000091409"	"ITGA6"	"protein_coding"
"ENSG00000091436"	"MAP3K20"	"protein_coding"
"ENSG00000091483"	"FH"	"protein_coding"
"ENSG00000091490"	"SEL1L3"	"protein_coding"
"ENSG00000091527"	"CDV3"	"protein_coding"
"ENSG00000091986"	"CCDC80"	"protein_coding"
"ENSG00000092607"	"TBX15"	"protein_coding"
"ENSG00000092621"	"PHGDH"	"protein_coding"
"ENSG00000092847"	"AGO1"	"protein_coding"
"ENSG00000092853"	"CLSPN"	"protein_coding"
"ENSG00000092969"	"TGFB2"	"protein_coding"
"ENSG00000092978"	"GPATCH2"	"protein_coding"
"ENSG00000093167"	"LRRFIP2"	"protein_coding"
"ENSG00000093183"	"SEC22C"	"protein_coding"
"ENSG00000093217"	"XYLB"	"protein_coding"
"ENSG00000094880"	"CDC23"	"protein_coding"
"ENSG00000094975"	"SUCO"	"protein_coding"
"ENSG00000095002"	"MSH2"	"protein_coding"
"ENSG00000097021"	"ACOT7"	"protein_coding"
"ENSG00000097033"	"SH3GLB1"	"protein_coding"
"ENSG00000097046"	"CDC7"	"protein_coding"
"ENSG00000097096"	"SYDE2"	"protein_coding"
"ENSG00000099260"	"PALMD"	"protein_coding"
"ENSG00000107404"	"DVL1"	"protein_coding"
"ENSG00000109133"	"TMEM33"	"protein_coding"
"ENSG00000109171"	"SLAIN2"	"protein_coding"
"ENSG00000109180"	"OCIAD1"	"protein_coding"
"ENSG00000109184"	"DCUN1D4"	"protein_coding"
"ENSG00000109189"	"USP46"	"protein_coding"
"ENSG00000109220"	"CHIC2"	"protein_coding"
"ENSG00000109265"	"CRACD"	"protein_coding"
"ENSG00000109270"	"LAMTOR3"	"protein_coding"
"ENSG00000109320"	"NFKB1"	"protein_coding"
"ENSG00000109321"	"AREG"	"protein_coding"
"ENSG00000109323"	"MANBA"	"protein_coding"
"ENSG00000109332"	"UBE2D3"	"protein_coding"
"ENSG00000109339"	"MAPK10"	"protein_coding"
"ENSG00000109381"	"ELF2"	"protein_coding"
"ENSG00000109390"	"NDUFC1"	"protein_coding"
"ENSG00000109436"	"TBC1D9"	"protein_coding"
"ENSG00000109445"	"ZNF330"	"protein_coding"
"ENSG00000109452"	"INPP4B"	"protein_coding"
"ENSG00000109458"	"GAB1"	"protein_coding"
"ENSG00000109466"	"KLHL2"	"protein_coding"
"ENSG00000109475"	"RPL34"	"protein_coding"
"ENSG00000109501"	"WFS1"	"protein_coding"
"ENSG00000109519"	"GRPEL1"	"protein_coding"
"ENSG00000109534"	"GAR1"	"protein_coding"
"ENSG00000109536"	"FRG1"	"protein_coding"
"ENSG00000109572"	"CLCN3"	"protein_coding"
"ENSG00000109576"	"AADAT"	"protein_coding"
"ENSG00000109586"	"GALNT7"	"protein_coding"
"ENSG00000109606"	"DHX15"	"protein_coding"
"ENSG00000109618"	"SEPSECS"	"protein_coding"
"ENSG00000109654"	"TRIM2"	"protein_coding"
"ENSG00000109670"	"FBXW7"	"protein_coding"
"ENSG00000109674"	"NEIL3"	"protein_coding"
"ENSG00000109680"	"TBC1D19"	"protein_coding"
"ENSG00000109685"	"NSD2"	"protein_coding"
"ENSG00000109686"	"SH3D19"	"protein_coding"
"ENSG00000109689"	"STIM2"	"protein_coding"
"ENSG00000109705"	"NKX3-2"	"protein_coding"
"ENSG00000109736"	"MFSD10"	"protein_coding"
"ENSG00000109738"	"GLRB"	"protein_coding"
"ENSG00000109743"	"BST1"	"protein_coding"
"ENSG00000109756"	"RAPGEF2"	"protein_coding"
"ENSG00000109762"	"SNX25"	"protein_coding"
"ENSG00000109771"	"LRP2BP"	"protein_coding"
"ENSG00000109775"	"UFSP2"	"protein_coding"
"ENSG00000109787"	"KLF3"	"protein_coding"
"ENSG00000109790"	"KLHL5"	"protein_coding"
"ENSG00000109805"	"NCAPG"	"protein_coding"
"ENSG00000109814"	"UGDH"	"protein_coding"
"ENSG00000112855"	"HARS2"	"protein_coding"
"ENSG00000112874"	"NUDT12"	"protein_coding"
"ENSG00000112877"	"CEP72"	"protein_coding"
"ENSG00000112893"	"MAN2A1"	"protein_coding"
"ENSG00000112941"	"TENT4A"	"protein_coding"
"ENSG00000112983"	"BRD8"	"protein_coding"
"ENSG00000113013"	"HSPA9"	"protein_coding"
"ENSG00000113068"	"PFDN1"	"protein_coding"
"ENSG00000113083"	"LOX"	"protein_coding"
"ENSG00000113108"	"APBB3"	"protein_coding"
"ENSG00000113119"	"TMCO6"	"protein_coding"
"ENSG00000113161"	"HMGCR"	"protein_coding"
"ENSG00000113163"	"CERT1"	"protein_coding"
"ENSG00000113269"	"RNF130"	"protein_coding"
"ENSG00000113272"	"THG1L"	"protein_coding"
"ENSG00000113273"	"ARSB"	"protein_coding"
